iter	Passed	Remaining
935	69918	4780
936	69989	4705
937	70050	4630
938	70107	4554
939	70170	4478
940	70228	4403
941	70290	4327
942	70354	4252
943	70423	4177
944	70495	4102
945	70565	4028
946	70628	3952
947	70689	3877
948	70762	3802
949	70829	3727
950	70900	3653
951	70975	3578
952	71046	3503
953	71113	3428
954	71180	3354
955	71250	3279
956	71327	3204
957	71393	3130
958	71457	3055
959	71523	2980
960	71583	2905
961	71644	2830
962	71717	2755
963	71782	2680
964	71849	2605
965	71916	2531
966	71982	2456
967	72051	2381
968	72119	2307
969	72196	2232
970	72266	2158
971	72344	2084
972	72412	2009
973	72478	1934
974	72541	1860
975	72609	1785
976	72669	1710
977	72741	1636
978	72801	1561
979	72861	1486
980	72922	1412
981	72990	1337
982	73060	1263
983	73122	1188
984	73192	1114
985	73252	1040
986	73325	965
987	73397	891
988	73470	817
989	73538	742
990	73599	668
991	73660	594
992	73730	519
993	73793	445
994	73860	371
995	73924	296
996	73986	222
997	74053	148
998	74115	74
999	74180	0
